Date,Price,Open,High,Low,Vol.,Change %,EPU,GPRD,Gold
2024-04-01,"69,664.4","71,329.3","71,329.3","68,175.9",94.05K,-2.34%,173.81182307301947,123.22461700439452,2236.5
2024-03-31,"71,332.0","69,608.5","71,367.5","69,576.6",42.45K,2.47%,182.20771262389815,119.95370483398438,2217.39990234375
2024-03-30,"69,611.5","69,872.3","70,321.2","69,564.9",29.87K,-0.37%,182.20771262389815,161.5886688232422,2217.39990234375
2024-03-29,"69,871.7","70,766.7","70,907.0","69,090.9",58.99K,-1.26%,182.20771262389815,126.19306182861328,2217.39990234375
2024-03-28,"70,762.1","69,449.4","71,542.5","68,956.9",72.49K,1.90%,182.20771262389815,99.6260986328125,2217.39990234375
2024-03-27,"69,442.4","69,999.2","71,670.8","68,428.6",112.88K,-0.80%,182.20771262389815,126.7417221069336,2190.60009765625
2024-03-26,"69,999.3","69,896.3","71,490.7","69,366.4",90.98K,0.15%,182.20771262389815,165.62838745117188,2175.60009765625
2024-03-25,"69,892.0","67,216.4","71,118.8","66,395.0",124.72K,3.99%,182.20771262389815,187.9930725097656,2174.800048828125
2024-03-24,"67,211.9","64,036.5","67,587.8","63,812.9",65.59K,4.96%,182.20771262389815,69.01182556152344,2158.10009765625
2024-03-23,"64,037.8","63,785.6","65,972.4","63,074.9",35.11K,0.40%,182.20771262389815,107.02964782714844,2158.10009765625
2024-03-22,"63,785.5","65,501.5","66,633.3","62,328.3",72.43K,-2.62%,182.20771262389815,125.00255584716795,2158.10009765625
2024-03-21,"65,503.8","67,860.0","68,161.7","64,616.1",75.26K,-3.46%,182.20771262389815,130.513916015625,2182.39990234375
2024-03-20,"67,854.0","62,046.8","68,029.5","60,850.9",133.53K,9.35%,182.20771262389815,116.02689361572266,2157.89990234375
2024-03-19,"62,050.0","67,594.1","68,099.6","61,560.6",148.08K,-8.20%,182.20771262389815,183.30413818359375,2156.300048828125
2024-03-18,"67,594.1","68,389.7","68,920.1","66,601.4",78.07K,-1.17%,182.20771262389815,147.65321350097656,2160.699951171875
2024-03-17,"68,391.2","65,314.2","68,857.7","64,605.5",66.07K,4.71%,182.20771262389815,69.1920166015625,2157.300048828125
2024-03-16,"65,314.2","69,456.5","70,037.0","64,971.0",75.82K,-5.97%,182.20771262389815,126.55989837646484,2157.300048828125
2024-03-15,"69,463.7","71,387.1","72,398.1","65,765.6",148.59K,-2.69%,182.20771262389815,138.02365112304688,2157.300048828125
2024-03-14,"71,387.5","73,066.7","73,740.9","68,717.2",109.43K,-2.30%,182.20771262389815,187.1507110595703,2163.0
2024-03-13,"73,066.3","71,461.9","73,623.5","71,338.4",77.18K,2.23%,182.20771262389815,149.75440979003906,2175.39990234375
2024-03-12,"71,470.2","72,099.1","72,916.7","68,845.6",105.09K,-0.87%,182.20771262389815,199.55227661132812,2160.39990234375
2024-03-11,"72,099.1","68,964.7","72,771.5","67,452.8",114.72K,4.54%,182.20771262389815,155.80584716796875,2182.5
2024-03-10,"68,964.8","68,360.7","69,905.3","68,165.0",53.49K,0.88%,182.20771262389815,98.21629333496094,2178.60009765625
2024-03-09,"68,366.5","68,178.5","68,576.9","67,923.9",30.71K,0.29%,182.20771262389815,89.67141723632812,2178.60009765625
2024-03-08,"68,172.0","66,854.4","69,904.0","66,170.7",112.67K,1.97%,182.20771262389815,183.7222442626953,2178.60009765625
2024-03-07,"66,855.3","66,074.6","67,985.5","65,602.6",77.47K,1.17%,182.20771262389815,122.2349624633789,2158.0
2024-03-06,"66,080.4","63,794.7","67,604.9","62,848.7",117.91K,3.59%,182.20771262389815,108.0185089111328,2150.300048828125
2024-03-05,"63,792.6","68,273.1","69,063.1","60,138.2",207.60K,-6.56%,182.20771262389815,83.45616912841797,2133.5
2024-03-04,"68,270.1","63,135.8","68,495.1","62,746.8",130.86K,8.13%,182.20771262389815,170.75091552734375,2117.699951171875
2024-03-03,"63,135.8","61,955.6","63,227.3","61,399.4",38.01K,1.84%,182.20771262389815,82.35665130615234,2086.89990234375
2024-03-02,"61,994.5","62,397.7","62,446.3","61,621.9",33.80K,-0.65%,182.20771262389815,82.69258880615234,2086.89990234375
2024-03-01,"62,397.7","61,157.3","63,147.3","60,790.9",74.96K,2.01%,182.20771262389815,155.183349609375,2086.89990234375
2024-02-29,"61,169.3","62,467.1","63,653.4","60,512.5",119.29K,-2.08%,170.26831229611042,153.25045776367188,2045.699951171875
2024-02-28,"62,467.6","57,048.7","63,915.3","56,704.9",173.64K,9.48%,170.26831229611042,177.458984375,2033.0
2024-02-27,"57,056.2","54,491.1","57,555.2","54,464.0",100.48K,4.70%,170.26831229611042,166.86441040039062,2034.0
2024-02-26,"54,495.1","51,722.7","54,899.1","50,925.2",78.05K,5.36%,170.26831229611042,200.9716796875,2028.5
2024-02-25,"51,722.7","51,572.1","51,952.0","51,299.0",23.61K,0.29%,170.26831229611042,87.17283630371094,2038.5999755859375
2024-02-24,"51,571.6","50,739.6","51,689.9","50,592.0",20.99K,1.64%,170.26831229611042,111.12447357177734,2038.5999755859375
2024-02-23,"50,740.5","51,320.6","51,532.5","50,537.6",43.27K,-1.13%,170.26831229611042,167.06863403320312,2038.5999755859375
2024-02-22,"51,320.4","51,850.2","52,015.8","50,947.3",50.27K,-1.04%,170.26831229611042,219.58306884765625,2019.699951171875
2024-02-21,"51,858.2","52,263.5","52,367.3","50,676.9",59.02K,-0.78%,170.26831229611042,193.75396728515625,2022.300048828125
2024-02-20,"52,263.5","51,783.1","52,936.8","50,801.8",68.10K,0.93%,170.26831229611042,170.2109832763672,2027.5
2024-02-19,"51,783.6","52,119.6","52,484.8","51,694.2",36.73K,-0.64%,170.26831229611042,167.8173065185547,2011.5
2024-02-18,"52,117.5","51,646.0","52,350.3","51,199.6",26.89K,0.91%,170.26831229611042,80.7943344116211,2011.5
2024-02-17,"51,646.0","52,134.2","52,175.5","50,652.3",32.45K,-0.94%,170.26831229611042,87.02969360351562,2011.5
2024-02-16,"52,134.2","51,901.4","52,556.7","51,612.6",52.86K,0.45%,170.26831229611042,160.93446350097656,2011.5
2024-02-15,"51,901.3","51,805.2","52,819.4","51,327.5",74.72K,0.23%,170.26831229611042,214.8081512451172,2002.0999755859375
2024-02-14,"51,782.4","49,708.6","52,010.7","49,263.8",80.35K,4.16%,170.26831229611042,135.8093719482422,1990.300048828125
2024-02-13,"49,716.0","49,941.0","50,326.6","48,398.3",78.51K,-0.45%,170.26831229611042,187.85829162597656,1992.9000244140625
2024-02-12,"49,941.3","48,280.2","50,277.3","47,729.9",81.85K,3.45%,170.26831229611042,156.3873291015625,2018.199951171875
2024-02-11,"48,277.3","47,759.3","48,531.6","47,590.2",36.50K,1.09%,170.26831229611042,86.26477813720703,2023.300048828125
2024-02-10,"47,758.2","47,128.0","48,149.0","46,875.0",31.20K,1.34%,170.26831229611042,98.4957504272461,2023.300048828125
2024-02-09,"47,127.5","45,293.3","48,118.8","45,254.2",98.11K,4.05%,170.26831229611042,194.5299835205078,2023.300048828125
