Year,Month,GEPU_current,GEPU_ppp
2024,4.0,173.81182307301947,178.01397432989683
2024,3.0,182.20771262389815,189.66791217607357
2024,2.0,170.26831229611042,181.83225229022918
2024,1.0,244.285043112096,262.92649789456675
2023,12.0,227.15847512266788,249.81449241569456
2023,11.0,211.096236111179,221.06174622706698
2023,10.0,193.0310287624587,199.37622654225177
2023,9.0,204.22276828471064,213.1225872041373
2023,8.0,178.25282449419518,188.333195297146
2023,7.0,195.22278886373303,203.25808652726982
2023,6.0,225.34519570403555,238.22371007714457
2023,5.0,214.61410547269878,213.87946820842092
2023,4.0,259.5943991955837,284.169917477577
2023,3.0,319.7987257603322,339.5307074777344
2023,2.0,245.78709545437468,263.2342786421899
2023,1.0,220.64598777654382,229.18355034661272
2022,12.0,244.1280209282203,255.86243952074693
2022,11.0,316.6438760575005,327.0604602028425
2022,10.0,268.9299662844176,269.2274135532657
2022,9.0,252.37677379358476,254.057989830292
2022,8.0,239.3844594037766,241.82117853641995
2022,7.0,298.18806661837453,305.64370223092124
2022,6.0,252.5423237813149,265.3476362811292
2022,5.0,280.84892509959167,290.51082759472274
2022,4.0,273.19178549319025,288.0632435630384
2022,3.0,302.15789559076717,305.62294556859126
2022,2.0,178.42150547683312,186.35333744862592
2022,1.0,226.21462060191692,233.58828975706282
2021,12.0,263.63062762796665,267.5256298145465
2021,11.0,233.2031464568653,234.63840494924867
2021,10.0,190.75021996651583,195.36813785050145
2021,9.0,215.4323485979122,219.79238261396887
2021,8.0,205.2184450748816,209.98734386235813
2021,7.0,191.99227827300737,190.5053794330932
2021,6.0,173.49766884102436,181.04478768357708
2021,5.0,176.02518903638295,179.7119279732554
2021,4.0,198.02092626946737,206.24163992355565
2021,3.0,215.64655523370078,221.2786951411288
2021,2.0,197.23994509061365,199.95492475786685
2021,1.0,276.18963353556904,282.99484026295875
2020,12.0,307.0611343053532,314.75403320101924
2020,11.0,404.41091941623614,421.0931124012859
2020,10.0,309.8182838441277,312.8808882474393
2020,9.0,314.4459688307332,327.5782157812291
2020,8.0,293.93366724432303,304.08000489707496
2020,7.0,316.75725564878667,308.46496862543944
2020,6.0,313.96849661936653,324.78342727210384
2020,5.0,420.3553816962708,423.67369377268426
2020,4.0,331.3172648334801,334.6999550215546
2020,3.0,320.10868403774384,311.39109731403335
2020,2.0,198.50843425681327,197.92730041809753
2020,1.0,194.18379493635794,199.22075700373537
2019,12.0,234.46541606919607,244.35947687962246
2019,11.0,246.4874731948353,259.0502544033712
2019,10.0,203.7803397415501,208.77709439670562
2019,9.0,240.0064395834275,250.23400427452265
2019,8.0,294.15605795608,292.90534455807915
2019,7.0,252.4019675101085,259.5718450598721
2019,6.0,326.6129235535922,349.52917360653987
2019,5.0,226.52774441963692,237.9736012968323
2019,4.0,193.6904585396892,204.6724255314802
2019,3.0,243.84465964179628,251.53686175034574
2019,2.0,175.32439904564276,177.6792152494074
2019,1.0,246.4347871844861,243.4922237493017
2018,12.0,222.60235056037774,218.16733910278245
2018,11.0,251.2531995937856,265.02775825077254
2018,10.0,216.59160710451278,225.7022721125059
2018,9.0,195.97576367268582,205.61149646691442
2018,8.0,174.5781947655619,182.03489129761758
2018,7.0,231.89554231172178,238.3234316768426
2018,6.0,166.2867966048098,163.4333243630238
2018,5.0,173.3368407433972,172.45461362784485
2018,4.0,167.39267060362093,173.39879568877853
2018,3.0,184.26657836528497,181.3692550430696
2018,2.0,127.92008706584744,130.72014220223542
2018,1.0,180.30977983730864,180.0051914829615
2017,12.0,150.01751273890662,155.4967687707495
2017,11.0,161.91805990982877,167.94549661936418
2017,10.0,145.5646143799478,149.77046643631877
2017,9.0,159.5644286385255,163.38714592023626
2017,8.0,141.57391214980666,141.71996381798476
2017,7.0,167.46663652998384,172.2119253026598
2017,6.0,173.58178968872966,175.43993005722442
2017,5.0,145.42536200339265,142.6317205009065
2017,4.0,178.12444134832256,177.74083009008424
2017,3.0,238.97382131833007,249.98545430686332
2017,2.0,186.99476712489846,189.62509131301908
2017,1.0,249.2959533974032,255.1962836727791
2016,12.0,186.01104157058498,186.67800680826042
2016,11.0,229.7413024066516,215.1032058041584
2016,10.0,126.88331075950727,122.33373454828083
2016,9.0,136.75804551133297,139.0547061524078
2016,8.0,135.61766062518458,136.43917171589746
2016,7.0,204.71600298951984,188.95236234265488
2016,6.0,231.32783453853722,220.7700822113798
2016,5.0,127.12103506696499,123.68837697364168
2016,4.0,143.37171698304178,146.27801425922797
2016,3.0,160.47921833762894,162.23215449038807
2016,2.0,148.10194029018143,145.697382780395
2016,1.0,145.13227826994014,140.8869657206722
2015,12.0,113.31659957464404,116.85524534088775
2015,11.0,106.32397849008326,105.990289105381
2015,10.0,116.51966039118588,115.33524527565493
2015,9.0,154.30594027339706,153.76992570285097
2015,8.0,120.38930585049297,117.1469201226508
2015,7.0,124.27833893607767,122.85105349196512
2015,6.0,120.12306613437524,118.6574639354384
2015,5.0,105.01260382346898,101.44997390468659
2015,4.0,102.05687233228089,100.7784963060721
2015,3.0,113.1828314370053,117.79969295682307
2015,2.0,116.26505340487215,122.64149543912546
2015,1.0,130.0561020059953,135.07791460881265
2014,12.0,111.65857297881223,113.87845760404844
2014,11.0,120.50506865634806,128.48772891369657
2014,10.0,113.30289822371802,114.64575912771679
2014,9.0,122.81362817430501,128.54198331316212
2014,8.0,97.70284412639134,105.06586068894343
2014,7.0,95.26182102688914,99.85174903185
2014,6.0,92.11171825766009,96.4121388593008
2014,5.0,107.68332428502477,110.98741074979779
2014,4.0,111.57838819623936,118.39218635446187
